id	animal	diet	enriched_or_not
SRR3621249	259	55cs	no
SRR3621248	3257	27cds	no
SRR3621247	222	27cds	no
SRR3621246	3244	corn	no
SRR3621245	346	corn	no
SRR3621244	222	27cds	deep
SRR3621243	259	corn	no
SRR3621242	3244	55cs	deep
SRR3621241	346	55cs	deep
SRR3621240	259	27cds	deep
SRR3621239	3257	55cs	deep
SRR3621238	3257	27cds	deep
SRR3621237	259	40mdgs	yes
SRR3621236	3257	corn	yes
SRR3621235	222	27cds	yes
SRR3621234	3244	55cs	yes
SRR3621233	346	55cs	yes
SRR3621232	3257	40mdgs	yes
SRR3621231	259	27cds	yes
SRR3621230	3257	55cs	yes
SRR3621229	222	corn	yes
SRR3621228	3244	40mdgs	yes
SRR3621227	346	40mdgs	yes
SRR3621226	259	55cs	yes
SRR3621225	3257	27cds	yes
SRR3621224	222	40mdgs	yes
SRR3621223	3244	corn	yes
SRR3621222	346	corn	yes
SRR3621221	222	55cs	no
SRR3621220	259	40mdgs	no
SRR3621219	3257	corn	no
SRR3621218	222	27cds	no
SRR3621217	3244	55cs	no
SRR3621216	346	55cs	no
SRR3621215	259	27cds	no
SRR3621214	3257	55cs	no
SRR3621213	222	corn	no
SRR3621212	3244	40mdgs	no
SRR3621211	346	40mdgs	no
SRR3621210	3244	27cds	no
SRR3621209	346	27cds	no
